Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
---,---,Terebellida,---,---,---,555672,5.291395349,0.406463432,9,10,43
---,---,---,Flabelligeridae,Pherusa,---,67241,7.501363636,0.549,2,2,22
---,---,---,---,---,plumosa,67244,5.43,0,1,1,1
---,---,---,---,---,affinis,67247,7.6,0.563262115,1,1,21
---,---,---,Sternaspidae,Sternaspis,fossor,67412,3.13,0.026304372,1,1,3
---,---,---,Terebellidae,---,---,67899,1.897692308,0.244461086,4,5,13
---,---,---,---,Amphitrite,ornata,67902,1.27,0.362592333,1,1,7
---,---,---,---,Neoamphitrite,groenlandica,67928,4.97,0,1,1,1
---,---,---,---,Pista,maculata,67945,1.2375,0.00193,1,2,4
---,---,---,---,Axionice,flexuosa,67999,5.86,0,1,1,1
---,---,---,Trichobranchidae,Terebellides,stroemi,68069,6.9,0.05939697,1,1,3
---,---,---,Thelepodidae,Thelepus,cincinnatus,67982,3.87,0,1,1,2
---,---,Phyllodocida,---,---,---,555674,3.207142857,0.310141906,18,24,119
---,---,---,Aphroditidae,Aphrodita,hastata,64365,2.3525,0.100211594,1,2,24
---,---,---,Polynoidae,---,---,64397,2.784736842,0.01806161,5,7,19
---,---,---,---,Halosydna,patagonica,64494,4.54,0,1,1,2
---,---,---,---,Harmothoe,---,64502,3.368333333,0.020863485,2,3,6
---,---,---,---,---,nodosa,64548,3.2675,0.0285,1,2,4
---,---,---,---,---,oerstedi,64549,3.57,0,1,1,2
---,---,---,---,Enipo,gracilis,64664,3.236,0.031679804,1,2,5
---,---,---,Phyllodocidae,Anaitides,groenlandica,65232,4.76,0,1,1,1
---,---,---,Alciopidae,Vanadis,antarctica,660242,2.09,0,1,1,1
---,---,---,Tomopteridae,Tomopteris,---,65460,1.87875,0,2,3,16
---,---,---,---,---,carpenteri,NA,1.81,0,1,2,6
---,---,---,Nereididae,---,---,65870,4.5685,0.244715302,2,3,20
---,---,---,---,Nereis,pelagica,65905,3.725,0.105033828,1,2,6
---,---,---,Nephtyidae,---,---,66010,3.815625,0.575372343,4,5,32
---,---,---,---,Nephtys,---,66011,3.818518519,0.180133284,3,4,27
---,---,---,---,---,ciliata,66013,4.51,0,1,1,1
---,---,---,---,---,paradoxa,66023,3.35,0,1,1,1
---,---,---,---,---,incisa,66028,3.8096,0.187801931,1,2,25
---,---,---,---,Aglaophamus,igalis,66059,3.8,1.743597813,1,1,5
---,---,---,Glyceridae,Glycera,americana,66106,4,0.05939697,1,1,3
---,---,---,Goniadidae,Ophioglycera,gigantea,66150,3.3,0.120208153,1,1,3
---,---,Eunicida,---,---,---,555675,4.340740741,0.206450434,3,6,27
---,---,---,Onuphidae,---,---,66157,4.96,0.326239106,2,3,12
---,---,---,---,Diopatra,cuprea,66180,5.5,0.514295635,1,1,6
---,---,---,---,Hyalinoecia,tubicola,66213,4.42,0.039747767,1,2,6
---,---,---,Lumbrineridae,Lumbrineris,fragilis,66338,3.845333333,0.009707253,1,3,15
---,Clitellata,---,---,---,---,568832,3.84,0.058515027,2,2,8
---,---,Hirudinida,Haemopidae,Haemopis,---,69408,4.47,0.071665979,1,1,6
Mollusca,---,---,---,---,---,69458,3.480268427,0.294182246,243,362,2583
---,Gastropoda,---,---,---,---,69459,3.09055414,0.257303458,77,109,328
---,---,Tectibranchiata,---,---,---,NA,1.61,0.012232947,1,1,3
---,---,Hygrophila,Chilinidae,Chilina,---,NA,1.66,0,1,1,2
---,---,Neogastropoda,---,---,---,73228,3.225668966,0.163065524,28,41,152
---,---,---,Muricidae,---,---,73236,4.006152174,0.2444977,7,8,46
---,---,---,---,Thaisella,chocolata,NA,4.35,0,1,1,1
---,---,---,---,Ceratostoma,foliatum,73240,4.88,0.345556556,1,1,14
---,---,---,---,Urosalpinx,cinerea,73264,0.841,0.015556349,1,1,3
---,---,---,---,Nucella,---,73292,4.96,0.299876385,2,2,15
---,---,---,---,---,lapillus,73297,5.52,0,1,1,3
---,---,---,---,Murex,brandarix,NA,4.69,0,1,1,1
---,---,---,---,Scabrotrophon,fabricii,NA,2.5,0.053001434,1,2,12
---,---,---,Columbellidae,---,---,73532,1.771724138,0.072517714,2,7,29
---,---,---,---,Mitrella,lunata,73552,2.398571429,0.096592356,1,3,14
---,---,---,---,Anachis,avara,73617,1.186666667,0.048060147,1,4,15
---,---,---,Buccinidae,---,---,73726,3.791904762,0.15831432,13,17,49
---,---,---,---,Buccinum,---,73727,5.296,0.284514807,5,5,15
---,---,---,---,---,angulosum,73728,2.36,0,1,1,1
---,---,---,---,---,scalariforme,73737,2.03,0,1,1,1
---,---,---,---,---,undatum,73795,7.7,0.418007775,1,1,8
---,---,---,---,---,hydrophanum,73811,2.18,0,1,1,2
---,---,---,---,Colus,---,73892,2.9015,0.075882402,5,8,20
---,---,---,---,---,pubescens,73918,2.69,0,1,1,1
---,---,---,---,---,pygmaeus,73920,0.9,0.066136223,1,1,4
---,---,---,---,---,stimpsoni,73922,4.554,0.14,1,2,5
---,---,---,---,---,islandicus,73941,2.708,0.044222619,1,2,5
---,---,---,---,---,holbolli,567384,3.086,0.100385225,1,2,5
---,---,---,---,Neptunea,---,73975,2.43,0.006266138,2,3,12
---,---,---,---,---,lyrata,73977,NA,NA,1,1,7
---,---,---,---,---,despecta,74010,2.43,0.01144035,1,2,5
---,---,---,---,Lirabuccinum,dirum,567784,4.82,0,1,1,2
---,---,---,Melongenidae,---,---,74069,5.2125,0.066154592,2,2,8
---,---,---,---,Busycon,carica,74071,4.9,0.003818377,1,1,3
---,---,---,---,Busycotypus,canaliculatus,74096,5.4,0.093530744,1,1,5
---,---,---,Nassariidae,Nassarius,---,74103,1.55495,0.025868943,4,7,20
