Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
---,---,Teuthida,---,---,---,82367,4.747869439,0.400644551,40,76,1038
---,---,---,Loliginidae,---,---,82369,4.327237288,0.202504624,8,21,590
---,---,---,---,Loligo,---,82370,4.592160665,0.257530743,6,18,361
---,---,---,---,---,opalescens,82371,4.291179245,0.284454901,1,9,212
---,---,---,---,---,pealeii,82372,4.810909091,0.124825092,1,2,22
---,---,---,---,---,forbesii,82374,4.6,0,1,1,4
---,---,---,---,---,vulgaris,82375,4.70375,0,1,2,16
---,---,---,---,---,gahi,556654,4.743333333,0,1,2,9
---,---,---,---,Lolliguncula,brevis,82379,4.175,0.224776926,1,2,8
---,---,---,---,Alloteuthis,---,82383,3.9,0,1,1,221
---,---,---,Enoploteuthidae,Enoploteuthis,---,82396,NA,NA,1,1,1
---,---,---,Gonatidae,---,---,82414,5.93976378,0.340746991,8,18,127
---,---,---,---,Gonatopsis,borealis,82417,3.974117647,0,1,4,17
---,---,---,---,Gonatus,---,82418,6.623461538,0.446971498,3,3,52
---,---,---,---,---,fabricii,82419,6.9,0.471149328,1,1,47
---,---,---,---,---,berryi,82424,5,0,1,1,1
---,---,---,---,Berryteuthis,---,82429,5.758367347,0.310263718,3,9,49
---,---,---,---,---,magister,82430,5.759130435,0.320666493,1,6,46
---,---,---,---,---,anonychus,556353,4.26,0,1,1,1
---,---,---,---,Eogonatus,tinro,556322,6.69,0,1,2,9
---,---,---,Onychoteuthidae,---,---,82436,4.609333333,0,4,6,15
---,---,---,---,Moroteuthis,---,82437,4.606666667,0,2,4,9
---,---,---,---,---,robusta,82438,1.84,0,1,1,1
---,---,---,---,---,ingens,556500,4.9525,0,1,3,8
---,---,---,---,Onychoteuthis,---,82439,4.613333333,0,2,2,6
---,---,---,---,---,borealijaponicus,82442,5.03,0,1,1,1
---,---,---,Histioteuthidae,Histioteuthis,---,82485,2.65,0,1,1,5
---,---,---,Ommastrephidae,---,---,82514,5.552011834,0.205135222,8,12,169
---,---,---,---,Todarodes,sagittatus,205726,4.01,0,1,1,2
---,---,---,---,Illex,---,82520,5.648289474,0.212918279,4,8,152
---,---,---,---,---,illecebrosus,82521,6.185714286,0.15990247,1,2,42
---,---,---,---,---,coindetii,82523,4.3,0,1,1,9
---,---,---,---,---,argentinus,556070,5.76375,0,1,3,32
---,---,---,---,Ommastrephes,caroli,82536,4.14,0.053457273,1,1,3
---,---,---,---,Dosidicus,gigas,82538,6.57,0.473761543,1,1,3
---,---,---,---,Todaropsis,eblanae,205728,4.4,0,1,1,9
---,---,---,Chiroteuthidae,---,---,82547,4.385,0.023758788,2,2,6
---,---,---,---,Chiroteuthis,calyx,82551,3.56,0,1,1,3
---,---,---,---,Grimalditeuthis,bonplandi,82574,5.21,0.047517576,1,1,3
---,---,---,Mastigoteuthidae,Mastigoteuthis,---,82558,1.82,0,1,1,3
---,---,---,Cranchiidae,---,---,82575,2.807142857,0,5,5,9
---,---,---,---,Helicocranchia,---,205732,NA,NA,1,1,1
---,---,---,---,Galiteuthis,---,205734,3.51,0,2,2,2
---,---,---,---,---,phyllura,556714,3.51,0,1,1,1
---,---,---,---,Belonella,borealis,556321,3.69,0,1,1,3
---,---,---,Pyroteuthidae,Pterygioteuthis,giardi,82405,NA,NA,1,1,1
---,---,Octopoda,---,---,---,82589,3.176,0.165280199,7,7,36
---,---,---,Octopoteuthidae,Octopoteuthis,---,82432,3.08,0,1,1,2
---,---,---,Octopodidae,---,---,82590,3.332,0.178489447,5,5,31
---,---,---,---,Octopus,---,82595,3.35,0,2,2,12
---,---,---,---,---,vulgaris,82603,NA,NA,1,1,11
---,---,---,---,---,rubescens,82606,3.35,0,1,1,1
---,---,---,---,Bathypolypus,arcticus,82636,3.14,0.158113883,1,1,11
---,---,---,---,Eledone,cirrhosa,82646,4.7,0,1,1,3
---,---,---,---,Enteroctopus,dofleini,557227,2.93,0.482664825,1,1,5
---,---,---,Alloposidae,Haliphron,atlanticus,205738,2.2,0.070003571,1,1,3
---,---,Sepiolida,Sepiolidae,---,---,82335,5.012808989,0.346931733,6,7,106
---,---,---,---,Rossia,---,82336,3.1,0.016963294,2,2,5
---,---,---,---,---,palpebrosa,82348,2.68,0,1,1,2
---,---,---,---,Stoloteuthis,leucoptera,82355,NA,NA,1,1,6
---,---,---,---,Sepiola,---,82356,4.8,0,1,2,87
---,---,---,---,Iridoteuthis,---,555762,NA,NA,1,1,1
---,---,---,---,Semirossia,tenera,82340,8.72,0.196084676,1,1,7
Arthropoda,---,---,---,---,---,82696,4.475209869,0.568337362,242,404,5380
---,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,hirtipes,83553,2.6825,0.199640847,1,2,12
---,Branchiopoda,Anostraca,Artemiidae,Artemia,salina,83691,2.64,0,1,1,1
---,Ostracoda,---,---,---,---,84195,0.998571429,0,4,4,7
---,---,Myodocopida,Cypridinidae,Gigantocypris,muelleri,684506,0.7,0,1,1,4
---,---,Halocyprida,Halocyprididae,Conchoecia,---,84325,1.396666667,0,3,3,3
---,---,---,---,---,antipoda,NA,1.67,0,1,1,1
---,---,---,---,---,belgicae,NA,1.26,0,1,1,1
---,---,---,---,---,hettacra,NA,1.26,0,1,1,1
---,Malacostraca,---,---,---,---,89787,4.502529715,0.556585264,192,333,4979
---,---,Lophogastrida,---,---,---,89808,3.926190476,0,5,5,21
---,---,---,Eucopiidae,Eucopia,---,89849,3.563333333,0,3,3,15
---,---,---,---,---,unguiculata,89850,3.95,0,1,1,5
---,---,---,---,---,australis,89851,5.32,0,1,1,5
---,---,---,---,---,sculpticauda,89854,1.42,0,1,1,5
---,---,---,Gnathophausiidae,---,---,1146838,4.833333333,0,2,2,6
---,---,---,---,Gnathophausia,gigas,89811,5.95,0,1,1,4
---,---,---,---,Neognathophausia,ingens,682614,2.6,0,1,1,2
---,---,Mysida,---,---,---,89855,2.44729927,0.796710702,13,19,278
---,---,---,Mysidae,---,---,89856,2.444029304,0.798157953,12,18,277
---,---,---,---,Acanthomysis,---,89857,4.07,0.200466456,1,1,7
---,---,---,---,Boreomysis,rostrata,89927,4.4,0,1,1,5
---,---,---,---,Mysis,---,90041,4.758571429,0.075688875,5,5,14
---,---,---,---,---,litoralis,90043,4.81,0,1,1,1
---,---,---,---,---,oculata,90044,5.49,0,1,1,1
---,---,---,---,---,relicta,90045,5.01,0.107040234,1,1,8
---,---,---,---,---,stenolepis,90047,4.14,0,1,1,3
---,---,---,---,Neomysis,---,90054,2.585714286,0.97424579,3,6,144
---,---,---,---,---,rayii,90061,2.57294964,0.991864682,1,4,139
---,---,---,---,---,americana,90062,NA,NA,1,1,4
---,---,---,---,Holmesimysis,sculpta,89870,1.5999,0.639937019,1,3,100
---,---,Cumacea,---,---,---,90745,2.668,0.007177005,2,3,5
---,---,---,Diastylidae,Diastylis,goodsiri,90844,2.245,0.00879,1,2,4
---,---,Isopoda,---,---,---,92120,3.458636364,0.63370419,5,10,66
---,---,---,Arctuidae,Arcturus,baffini,92548,3.157142857,0.854529988,1,2,14
---,---,---,Aegidae,Syscenus,infelix,92514,7.24,0,1,1,2
---,---,---,Idoteidae,Synidotea,cinerea,546950,3.24,0.352784839,1,1,9
---,---,---,Chaetiliidae,Saduria,---,92645,3.425121951,0.641397153,2,6,41
---,---,---,---,---,entomon,92646,3.632580645,0.724352465,1,3,31
---,---,---,---,---,sabini,92648,2.782,0.321775092,1,3,10
---,---,Amphipoda,---,---,---,93294,3.982053571,0.606384258,36,54,336
---,---,---,Ampeliscidae,Ampelisca,---,93321,6.766,0.405299889,2,2,10
---,---,---,---,---,macrocephala,93322,2.02,0,1,1,3
---,---,---,---,---,agassizi,93332,8.8,0.512668314,1,1,7
---,---,---,Ampithoidae,Ampithoe,longimana,93423,4.558,0.265496469,1,2,10
---,---,---,Aoridae,---,---,93440,3.501304348,0.215560399,3,4,23
---,---,---,---,Leptocheirus,pinguis,93487,1.966666667,0.059154036,1,2,12
---,---,---,---,Unciola,---,93629,5.175454545,0.323316151,2,2,11
---,---,---,---,---,leucopis,93630,1.79,0,1,1,7
---,---,---,---,---,irrorata,93632,11.1,0.685857128,1,1,4
---,---,---,Dexaminidae,---,---,93656,1.132051282,0.48161328,2,4,39
---,---,---,---,Atylus,tridens,93515,1.250714286,0.559574014,1,3,28
---,---,---,---,Polycheria,osborni,93663,0.83,0.221359436,1,1,11
---,---,---,Eusiridae,Eusirus,microps,657433,4.51,0,1,1,1
---,---,---,Gammaridae,---,---,93745,3.552777778,0.200326492,5,7,36
---,---,---,---,Gammarus,---,93773,3.377575758,0.209795901,4,5,33
---,---,---,---,---,setosus,93776,5.26,0,1,1,1
---,---,---,---,---,mucronatus,93783,4.335,0.257598175,1,2,8
---,---,---,---,---,annulatus,93785,1.7,0.077768888,1,1,8
---,---,---,---,---,lacustris,93789,3.62,0.257739486,1,1,16
---,---,---,Haustoriidae,Eohaustorius,setulosus,NA,3.16,0,1,1,1
---,---,---,Hyalellidae,Hyalella,fossamancinii,NA,2.55,0,1,1,2
---,---,---,Stegocephalidae,---,---,94874,3.417142857,0.487699088,2,3,7
---,---,---,---,Parandania,boecki,94881,1.62,0,1,1,2
---,---,---,---,Stegocephalus,inflatus,94898,4.136,0.629616815,1,2,5
---,---,---,Hyperiidae,---,---,95108,3.950925926,0.271750027,7,11,54
---,---,---,---,Hyperia,---,95109,3.140526316,0.216944016,3,3,19
---,---,---,---,---,galba,95110,3.6,0.259229628,1,1,8
---,---,---,---,---,macrocephala,656447,3.77,0,1,1,1
---,---,---,---,Hyperiella,antarctica,95121,1.71,0,1,1,1
---,---,---,---,Themisto,---,95167,4.822142857,0.341940166,2,4,28
---,---,---,---,---,libellula,95168,5.53,0.410960934,1,1,20
---,---,---,---,---,gaudichaudii,656448,3.0525,0,1,3,8
---,---,---,Phrosinidae,Primno,macropa,95188,4.075,0,1,2,4
---,---,---,Vibiliidae,Vibilia,stebbingi,95363,3.9,0,1,2,4
---,---,---,Epimeriidae,---,---,203102,8.34,0.469,2,2,3
---,---,---,---,Epimeria,loricata,94589,9.67,0,1,1,2
---,---,---,---,Paramphithoe,hystrix,94596,5.68,0,1,1,1
---,---,---,Anisogammaridae,Anisogammarus,pugettensis,93753,4,0.014142136,1,1,3
---,---,---,Cyphocarididae,Cyphocaris,---,94280,3.02,0,2,3,16
---,---,---,---,---,faurei,656777,2.42,0,1,1,6
---,---,---,---,---,richardi,656778,3.38,0,1,2,10
---,---,---,Pontoporeiidae,Monoporeia,affinis,657301,7.19,0,1,1,15
---,---,---,Uristidae,Anonyx,nugax,94232,4.228,0.076659963,1,2,5
---,---,---,Cyllopodidae,Cyllopus,lucasii,656450,4.562,0,1,2,20
---,---,Euphausiacea,---,---,---,95496,4.282393617,0.526788944,16,63,1328
---,---,---,Euphausiidae,---,---,95500,4.287284516,0.526168891,15,62,1323
---,---,---,---,Euphausia,---,95501,4.49994152,0.445783088,6,30,173
---,---,---,---,---,pacifica,95502,4.185294118,0.364216602,1,2,17
---,---,---,---,---,superba,95514,4.642765957,0.476331668,1,23,143
---,---,---,---,---,lucens,95516,2.51,0,1,1,1
---,---,---,---,---,frigida,95517,4.62,0,1,1,1
---,---,---,---,---,triacantha,95518,2.92,0,1,1,9
---,---,---,---,---,crystallorophias,95520,5.15,0,1,2,2
---,---,---,---,Meganyctiphanes,norvegica,95534,3.892115903,0.017330804,1,4,742
---,---,---,---,Nyctiphanes,australis,95549,3.49,0,1,1,1
---,---,---,---,Thysanoessa,---,95571,4.832885375,0.66575127,6,19,253
---,---,---,---,---,inermis,95573,4.716666667,0.266057888,1,3,12
---,---,---,---,---,longipes,95576,5.23,0.189504617,1,1,3
---,---,---,---,---,spinifera,95578,4.361555556,0.699913663,1,5,135
---,---,---,---,---,macrura,95581,4.544166667,0,1,7,12
---,---,---,---,---,raschii,660852,5.599777778,0.717886006,1,2,90
---,---,Decapoda,---,---,---,95599,4.893010665,0.538020356,114,178,2930
---,---,---,Polybiidae,Necora,puber,NA,6.9,0,1,1,8
---,---,---,Penaeidae,---,---,95602,5.19862069,0.136214153,6,6,29
---,---,---,---,Penaeus,---,95603,6.565454545,0.201798855,2,2,11
---,---,---,---,---,aztecus,95605,8.9,0.282901632,1,1,5
---,---,---,---,---,setiferus,95610,4.62,0.177767404,1,1,6
---,---,---,---,Metapenaeopsis,goodei,95668,5.22,0.069720729,1,1,3
---,---,---,---,Funchalia,villosa,95766,4.99,0,1,1,4
---,---,---,---,Metapenaeus,macleayi,95846,3.84,0.127279221,1,1,10
---,---,---,Sergestidae,---,---,95887,5.402333333,0.021316094,8,8,60
---,---,---,---,Allosergestes,pectinatus,1195565,6.61,0,1,1,4
---,---,---,---,Deosergestes,---,1195375,5.735,0,2,2,22
---,---,---,---,---,henseni,1195574,4.9,0,1,1,11
---,---,---,---,---,paraseminudus,1195575,6.57,0,1,1,11
---,---,---,---,Eusergestes,arcticus,1195582,4.86,0.081169268,1,1,6
---,---,---,---,Gardinerosergia,splendens,1195693,5.68,0,1,1,11
---,---,---,---,Phorcosergia,---,1195382,5.255714286,0,2,2,7
---,---,---,---,---,filicta,1195700,7.15,0,1,1,1
---,---,---,---,---,grandis,1195701,4.94,0,1,1,6
---,---,---,---,Robustosergia,robusta,1195714,4.31,0,1,1,10
---,---,---,Solenoceridae,---,---,95954,5.49125,0.033469916,3,3,19
---,---,---,---,Pleoticus,---,95965,5.49125,0.056338264,2,2,8
---,---,---,---,---,robustus,95966,5.24,0.079674337,1,1,5
---,---,---,---,---,muelleri,95971,5.91,0,1,1,3
---,---,---,---,Haliporoides,---,96014,NA,NA,1,1,11
---,---,---,Sicyoniidae,Sicyonia,typica,96031,4.9,0.078519637,1,1,5
---,---,---,Aristeidae,Aristaeomorpha,foliacea,96056,NA,NA,1,1,10
---,---,---,Benthesicymidae,Gennadas,valens,96095,3.89,0,1,1,8
---,---,---,Oplophoridae,---,---,96107,5.024827586,0,4,4,40
---,---,---,---,Systellaspis,---,96135,4.76,0,2,2,14
---,---,---,---,---,cristata,96138,NA,NA,1,1,1
---,---,---,---,---,debilis,96139,4.76,0,1,1,13
---,---,---,---,Oplophorus,---,96141,5.24,0,2,2,26
---,---,---,---,---,gracilirostris,96142,5.24,0,1,1,16
---,---,---,---,---,spinosus,96145,NA,NA,1,1,10
---,---,---,Pasiphaeidae,---,---,96161,4.258989071,0,6,7,379
---,---,---,---,Pasiphaea,---,96162,4.253808219,0,5,6,378
---,---,---,---,---,tarda,96165,NA,NA,1,1,5
---,---,---,---,---,merriami,96173,4.92,0,1,1,9
---,---,---,---,---,sivado,96174,4.1,0,1,1,342
---,---,---,---,---,scotiae,1187685,7.582857143,0,1,2,14
---,---,---,---,Parapasiphae,sulcatifrons,96185,6.15,0,1,1,1
---,---,---,Campylonotidae,Campylonotus,rathbunae,96212,NA,NA,1,1,8
---,---,---,Palaemonidae,Palaemon,---,96449,3.442268371,0.046314145,3,3,626
---,---,---,---,---,vulgaris,96392,4.6,0.162018517,1,1,8
---,---,---,---,---,longirostris,96497,3.4,0,1,1,612
---,---,---,---,---,pugio,1192109,6.21,0.543364519,1,1,6
---,---,---,Pandalidae,---,---,96965,5.560973451,0.72089148,8,11,120
---,---,---,---,Pandalus,---,96966,4.933728814,1.026484154,4,7,59
---,---,---,---,---,borealis,96967,4.969166667,0.129543088,1,2,36
---,---,---,---,---,montagui,96971,5.27,0.048746282,1,2,12
---,---,---,---,---,eous,621110,3.835,3.848746549,1,2,6
---,---,---,---,Dichelopandalus,leptocerus,97000,5.5,0.18342888,1,1,28
---,---,---,---,Plesionika,---,97017,4.58,0,2,2,20
---,---,---,---,---,martia,97020,NA,NA,1,1,7
---,---,---,---,---,richardi,1187802,4.58,0,1,1,13
---,---,---,---,Atlantopandalus,propinqvus,621752,9.52,0.188003868,1,1,13
---,---,---,Crangonidae,---,---,97106,3.827605634,0.128273232,6,12,73
---,---,---,---,Crangon,septemspinosa,97110,3.835483871,0.116988063,1,3,31
---,---,---,---,Sclerocrangon,---,97152,3.96875,0.112558538,2,4,18
---,---,---,---,---,boreas,97153,3.96875,0.120330139,1,3,16
---,---,---,---,Argis,---,97160,3.94125,0.199754288,2,3,16
---,---,---,---,---,lar,97161,4.62,0.255238712,1,1,7
---,---,---,---,---,dentata,97162,3.413333333,0.182400995,1,2,9
---,---,---,---,Sabinea,septemcarinata,97171,3.2875,0.040824667,1,2,8
---,---,---,Nephropidae,Homarus,americanus,97314,4.8,0.517305841,1,1,5
---,---,---,Astacidae,Astacus,astacus,97333,3.01,0,1,1,1
---,---,---,Parastacidae,Samastacus,spinifrons,650312,3.89,0,1,1,2
---,---,---,Cambaridae,Faxonius,virilis,1133797,3.11,0.381022423,1,1,25
---,---,---,Callianassidae,Gilvossius,setimanus,552843,4.67,0.138636215,1,1,6
---,---,---,Paguridae,---,---,97774,5.351904762,0.313886715,6,6,25
---,---,---,---,Pagurus,---,97775,6.492666667,0.401434639,4,4,15
---,---,---,---,---,acadianus,97803,6.9,0.683582719,1,1,5
---,---,---,---,---,bernhardus,97805,6,0.579304324,1,1,4
---,---,---,---,---,pollicaris,97809,6.6,0.08544784,1,1,5
---,---,---,---,---,pubescens,97811,5.89,0,1,1,1
---,---,---,---,Catapagurus,gracilis,97847,2.5,0.206836288,1,1,6
---,---,---,Lithodidae,Lithodes,maja,97943,5.58,0.255090398,1,1,11
---,---,---,Aeglidae,Aegla,---,1200832,3.68,0,1,1,2
---,---,---,Porcellanidae,---,---,98058,1.17,0.171464282,1,1,4
---,---,---,Upogebiidae,Upogebia,affinis,98209,5.13,0.469574275,1,1,6
---,---,---,Calappidae,Acanthocarpus,alexandri,98355,2.89,0.385604072,1,1,8
---,---,---,Cancridae,Cancer,---,98671,3.820879121,1.579118766,5,14,91
---,---,---,---,---,productus,98672,2.970555556,0.983870164,1,4,18
---,---,---,---,---,magister,98675,4.185625,2.057963324,1,5,48
---,---,---,---,---,oregonensis,98677,3.6125,1.329374728,1,3,8
---,---,---,---,---,irroratus,98679,3.7,0.280192242,1,1,15
---,---,---,Portunidae,---,---,98689,7.271761364,0.996149504,4,8,528
---,---,---,---,Bathynectes,superba,98693,2.72,0.058548441,1,1,3
---,---,---,---,Callinectes,sapidus,98696,3.906363636,0.425935441,1,2,11
---,---,---,---,Carcinus,maenas,98734,7.626029412,1.047722928,1,3,476
---,---,---,---,Polybius,henslowii,NA,4.167631579,0,1,2,38
---,---,---,Geryonidae,Geryon,quinquedens,98906,3.9,0.071129553,1,1,5
---,---,---,Pinnotheridae,Zaops,ostreum,621737,4.67,0.239259274,1,1,6
---,---,---,Grapsidae,Pachygrapsus,marmoratus,199983,5.8,0,1,1,25
---,---,---,Epialtidae,Pugettia,producta,98436,3.665454545,1.291254515,1,3,11
---,---,---,Pisidae,---,---,621491,5.094736842,0.238147685,4,4,27
---,---,---,---,Libinia,---,98453,5.43125,0.317978661,2,2,16
---,---,---,---,---,dubia,98454,5.5,0.598134879,1,1,5
---,---,---,---,---,emarginata,98455,5.4,0.195007122,1,1,11
---,---,---,---,Pelia,mutica,98469,3.3,0.048083261,1,1,3
---,---,---,---,Rochinia,crassa,98472,NA,NA,1,1,8
---,---,---,Cheiragonidae,Telmessus,cheiragonus,98663,3.675882353,0.71980928,1,4,17
---,---,---,Panopeidae,Eurypanopeus,depressus,98759,NA,NA,1,1,5
---,---,---,Varunidae,---,---,621521,3.383555556,0.30124401,3,25,45
---,---,---,---,Cyrtograpsus,---,NA,3.192758621,0.348791512,2,16,29
---,---,---,---,---,altimanus,NA,3.040833333,0.168998521,1,7,12
---,---,---,---,---,angulatus,NA,3.3,0.447146061,1,9,17
---,---,---,---,Neohelice,granulata,NA,3.729375,0.210010714,1,9,16
---,---,---,Oregoniidae,---,---,621704,3.626415094,0.127481588,3,5,53
---,---,---,---,Hyas,araneus,98426,2.789090909,0.132,1,2,11
---,---,---,---,Chionoecetes,---,98427,3.845714286,0.129616099,2,3,42
---,---,---,---,---,opilio,98428,3.784545455,0.139064733,1,2,33
---,---,---,Thoridae,---,---,1173150,4.559772727,0.140209499,7,11,44
---,---,---,---,Spirontocaris,---,96756,4.002777778,0.080414067,2,4,18
---,---,---,---,---,spinus,96775,3.956875,0.085966254,1,2,16
---,---,---,---,Lebbeus,groenlandicus,96787,5,0.300062493,1,1,4
---,---,---,---,Eualus,---,96801,4.935454545,0.164640183,4,6,22
---,---,---,---,---,fabricii,96805,5.06,0.153093109,1,1,4
---,---,---,---,---,gaimardii,96807,4.319,0.234865887,1,3,10
---,---,---,---,---,macilentus,96815,5.97,0.10750262,1,1,5
---,---,---,Acanthephyridae,---,---,1186757,5.280249516,0.013767902,7,9,519
---,---,---,---,Acanthephyra,---,96113,5.288934109,0.013808022,4,6,516
---,---,---,---,---,purpurea,96114,5.302048193,0.014056338,1,3,498
---,---,---,---,---,curtirostris,96117,4.68,0,1,1,4
---,---,---,---,---,acutifrons,96119,2.71,0,1,1,3
---,---,---,---,---,acanthitelsonis,96123,5.62,0,1,1,11
---,---,---,---,Meningodora,vesca,96129,NA,NA,1,1,1
---,---,---,---,Ephyrina,hoskynii,1187738,NA,NA,1,1,1
---,---,---,---,Notostomus,elegans,96148,0.799,0,1,1,1
---,---,---,Acetidae,Acetes,petrunkevitchi,1195720,3.34,0,1,1,3
---,---,---,Petalidiumidae,Petalidium,foliaceum,552023,7.575,0,1,2,4
---,---,---,Eumunididae,Eumunida,picta,98144,NA,NA,1,1,5
---,---,---,Munididae,---,---,1200829,3.2924,0.0839509,5,6,41
---,---,---,---,Grimothea,---,1200892,3.93,0.02234304,2,3,9
---,---,---,---,---,gregaria,1202377,NA,NA,1,1,3
---,---,---,---,---,planipes,1202386,3.93,0.029557063,1,2,6
---,---,---,---,Iridonida,iris,1202393,2.96,0.151674405,1,1,10
---,---,---,---,Scolonida,haswelli,1202412,NA,NA,1,1,10
---,---,---,---,Typhlonida,valida,1202441,3.41,0.093448868,1,1,12
---,---,Stomatopoda,Squillidae,Squilla,empusa,99143,5.8,0.44519434,1,1,15
---,Insecta,---,---,---,---,99208,4.694285714,0.064683769,7,7,14
---,---,Ephemeroptera,---,---,---,100502,4.795,0.094045202,2,2,4
---,---,---,Leptophlebiidae,Leptophlebia,---,101148,6.87,0,1,1,2
---,---,Odonata,---,---,---,101593,3.778,0.080669862,2,2,5
---,---,---,Corduliidae,Epitheca,---,102035,5.41,0.1397243,1,1,3
---,---,Plecoptera,---,---,---,102467,5.37,0,1,1,2
---,---,Coleoptera,---,---,---,109216,5.79,0,1,1,1
---,---,Trichoptera,Phryganeidae,Phryganea,---,115892,5.56,0,1,1,2
---,Maxillopoda,---,---,---,---,621145,4.207603659,0.730685768,37,57,367
---,---,Calanoida,---,---,---,85258,4.376925676,0.766005252,31,47,332
---,---,---,Clausocalanoidae,Pseudocalanus,elongatus,85370,3,0,1,1,2
---,---,---,Calanidae,---,---,85259,4.995450644,0.779670906,10,20,268
---,---,---,---,Calanus,---,85263,5.152606635,0.806359996,7,15,246
---,---,---,---,---,hyperboreus,85266,1.22,0,1,1,1
---,---,---,---,---,glacialis,85267,7.4,0,1,1,2
---,---,---,---,---,marshallae,85268,4.89,0.460504072,1,1,4
---,---,---,---,---,finmarchicus,85272,6.472258065,0.572756493,1,6,124
---,---,---,---,---,helgolandicus,85276,3.1,1.309523937,1,1,70
---,---,---,---,---,propinquus,610032,3.765,0,1,2,4
---,---,---,---,Neocalanus,---,85282,3.705555556,0.436252221,2,3,18
---,---,---,---,---,cristatus,667083,3.330769231,0.364,1,2,13
---,---,---,---,---,plumchrus,667085,4.68,0.727461339,1,1,5
---,---,---,---,Calanoides,acutus,610031,2.51,0,1,2,4
---,---,---,Eucalanidae,Eucalanus,bungii,85302,1.69,0.571955855,1,1,4
---,---,---,Aetideidae,---,---,85413,1.941666667,0,3,4,6
---,---,---,---,Euchirella,rostromagna,780027,1.26,0,1,1,1
---,---,---,---,Gaetanus,---,85467,2.078,0,2,3,5
---,---,---,---,---,tenuispinus,779941,1.985,0,1,2,4
---,---,---,Euchaetidae,Paraeuchaeta,---,610024,3.9,0,2,3,4
---,---,---,---,---,antarctica,667219,3.733333333,0,1,2,3
---,---,---,Centropagidae,---,---,85760,2.302142857,1.2,2,2,14
---,---,---,---,Centropages,typicus,85767,2.2,1.253359123,1,1,13
---,---,---,---,Limnocalanus,grimaldii,85774,3.63,0,1,1,1
---,---,---,Temoridae,Temora,longicornis,85877,1.1,0.808290377,1,1,5
---,---,---,Heterorhabdidae,Heterorhabdus,---,85912,1.26,0,2,2,2
---,---,---,---,---,austrinus,85926,1.26,0,1,1,1
---,---,---,---,---,farrani,610048,1.26,0,1,1,1
---,---,---,Augaptilidae,Euaugaptilus,laticeps,205958,1.67,0,1,1,1
---,---,---,Pontellidae,---,---,86038,2.69875,1.2,2,2,8
---,---,---,---,Labidocera,wollastoni,86046,2.87,1.314534138,1,1,7
---,---,---,---,Anomalocera,patersoni,86065,1.5,0,1,1,1
---,---,---,Acartiidae,Acartia,---,86084,0.5,0,1,1,1
---,---,---,Metridinidae,---,---,593501,1.497,0.651920241,3,6,10
---,---,---,---,Metridia,---,85734,1.588333333,0.919238816,2,4,6
---,---,---,---,---,gerlachei,85750,1.05,0,1,2,2
---,---,---,---,Pleuromamma,---,85751,1.36,0.1,1,2,4
---,---,---,Rhincalanidae,Rhincalanus,gigas,610045,1.26,0,1,2,5
---,---,Cyclopoida,Oithonidae,Oithona,---,88802,0.5,0,1,1,1
---,---,Pedunculata,Poecilasmatidae,Poecilasma,inaequilaterale,656280,4.17,0.43528975,1,1,8
---,---,Sessilia,Balanidae,Balanus,---,89600,2.195636364,0.067604808,3,7,25
---,---,---,---,---,balanoides,89601,2.194166667,0.097005155,1,3,12
---,---,---,---,---,balanus,89602,1.886,0.039676248,1,2,9
---,---,---,---,---,crenatus,89606,5,0,1,2,4
Sipuncula,Sipunculidea,---,---,---,---,772452,3.605,0,2,2,2
---,---,Sipunculiformes,Sipunculidae,---,---,154521,1.74,0,1,1,1
---,---,Golfingiiformes,Golfingiidae,Golfingia,margaritacea,154601,5.47,0,1,1,1
Bryozoa,Gymnolaemata,---,---,---,---,155471,1.920333333,0.148198419,2,3,9
---,---,Ctenostomatida,Alcyonidiidae,Alcyonidium,gelatinosum,155487,1.44575,0.00614,1,2,4
---,---,Cheilostomatida,Bugulidae,Bugula,flabellata,156051,2.3,0.226321306,1,1,5
Brachiopoda,---,---,---,---,---,156755,2.117384615,0.25468315,3,4,14
---,Lingulata,Lingulida,Lingulidae,Glottidia,pyramidata,156760,NA,NA,1,1,1
---,Rhynchonellata,---,---,---,---,914198,2.117384615,0.266007874,2,3,13
---,---,Rhynchonellida,Hemithyrididae,Hemithiris,psittacea,156785,1.947333333,0.297196203,1,2,9
---,---,Terebratulida,Cancellothyrididae,Terebratulina,septentrionalis,156804,2.5,0.282916065,1,1,4
Echinodermata,---,---,---,---,---,156857,2.514912134,0.410787408,43,71,336
---,Asteroidea,---,---,---,---,156862,3.758166667,0.391100192,18,22,88
---,---,Paxillosida,---,---,---,156881,2.428461538,0.300517566,3,3,13
---,---,---,Astropectinidae,Astropecten,americanus,156902,2.02,0.565803264,1,1,5
---,---,---,Ctenodiscidae,Ctenodiscus,crispatus,156940,2.8,0.073900834,1,1,5
---,---,---,Pseudarchasteridae,Pseudarchaster,parelii,157017,2.49,0.128976277,1,1,3
---,---,Valvatida,---,---,---,156973,3.79,0.102469712,4,6,23
---,---,---,Goniasteridae,Mediaster,australiensis,990130,NA,NA,1,1,10
---,---,---,Solasteridae,---,---,157062,5.7625,0.165925435,2,4,10
---,---,---,---,Crossaster,papposus,157066,5.91,0.177381751,1,3,9
